CodigoExterno,Nombre,CodigoEstado,FechaCierre,Estado,Descripcion,CodigoTipo,TipoConvocatoria,MontoEstimado,Modalidad,Comprador.NombreOrganismo,Comprador.NombreUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.NombreUsuario,Comprador.CargoUsuario,EmailResponsablePago
1000-22-LE25,Suministro piezas de madera de roble.,5,2025-10-06T18:30:00,Activa,Suministro piezas de madera de roble.,2,Privado,49589.0,Trato Directo,Ministerio de Educación,Departamento de Adquisiciones,Punta Arenas,Región Metropolitana,Isabel Sánchez,Especialista en Compras,isabel.sánchez@gobierno.cl
1000-24-LE25,Adquisición cajones prefabricados de hormigón.,5,2025-10-13T15:10:00,Activa,Adquisición cajones prefabricados de hormigón.,2,Privado,52709.0,Licitación Pública,Ministerio de Salud,Área de Contrataciones,Valparaíso,Región del Biobío,Juan Pérez,Coordinador de Adquisiciones,juan.pérez@gob.cl
1001-33-LE25,ESTABILIZADOR DE SUELO TIPO IONICO,5,2025-10-10T15:00:00,Activa,ESTABILIZADOR DE SUELO TIPO IONICO,1,Público,11995.0,Trato Directo,Gobierno Regional del Biobío,Departamento de Adquisiciones,Ñuñoa,Región de Los Lagos,Roberto Martínez,Administrador de Contratos,roberto.martínez@gob.cl
1001-34-LE25,ESTABILIZADOR SUELO EN BASE A POLIMERO,5,2025-10-10T15:00:00,Activa,ESTABILIZADOR SUELO EN BASE A POLIMERO,1,Público,308312.0,Trato Directo,Fiscalía Nacional,Unidad de Compras,Punta Arenas,Región de Los Ríos,Juan Pérez,Analista de Compras,juan.pérez@municipalidad.cl
1001-37-LP25,Serv. de Arriendo y mantención de Baños Químicos,5,2025-10-13T15:01:00,Activa,Serv. de Arriendo y mantención de Baños Químicos,1,Público,107216.0,Licitación Pública,Ministerio de Educación,Sección de Licitaciones,Viña del Mar,Región Metropolitana,Diego Morales,Analista de Compras,diego.morales@gob.cl
1002584-11-LP25,SERVICIO DE RENOVACIÓN Y ADQUISICIÓN DE LICENCIAS,5,2025-10-14T16:00:00,Activa,SERVICIO DE RENOVACIÓN Y ADQUISICIÓN DE LICENCIAS,1,Público,63668.0,Licitación Privada,Superintendencia de Educación,Sección de Licitaciones,Viña del Mar,Región de Antofagasta,Ana Rodríguez,Supervisor de Contratos,ana.rodríguez@gob.cl
1002588-101-LE25,Servicio de producción Escuela Tambillos.,5,2025-10-10T12:15:00,Activa,Servicio de producción Escuela Tambillos.,3,Mixto,32422.0,Subasta Inversa,Servicio de Impuestos Internos,Sección de Licitaciones,Talca,Región de Atacama,Mónica Herrera,Administrador de Contratos,mónica.herrera@gobierno.cl
1002588-102-LE25,Capacitación en neurociencias IAC Est. de Israel,5,2025-10-10T15:00:00,Activa,Capacitación en neurociencias IAC Est. de Israel,1,Público,69466.0,Compra Agilizada,Municipalidad de Santiago,Unidad de Compras,Maipú,Región de Coquimbo,Ana Rodríguez,Encargado de Licitaciones,ana.rodríguez@gob.cl
1002588-103-LE25,Adquisición De Accesorios Tecnológicos.,5,2025-10-13T15:01:00,Activa,Adquisición De Accesorios Tecnológicos.,1,Público,884771.0,Licitación Pública,Ministerio de Obras Públicas,División de Compras,Las Condes,Región de Antofagasta,Diego Morales,Encargado de Licitaciones,diego.morales@gob.cl
1002588-104-LE25,Servicio de producción para salidas pedagógicas.,5,2025-10-08T16:00:00,Activa,Servicio de producción para salidas pedagógicas.,2,Privado,218072.0,Licitación Privada,Municipalidad de Valparaíso,División de Compras,Talca,Región de Los Lagos,Isabel Sánchez,Analista de Compras,isabel.sánchez@gob.cl
