FechaCierre,Descripcion,Estado,Comprador.NombreOrganismo,Comprador.NombreUnidad,Comprador.ComunaUnidad,Comprador.RegionUnidad,Comprador.NombreUsuario,Comprador.CargoUsuario,CodigoTipo,TipoConvocatoria,MontoEstimado,Modalidad,EmailResponsablePago
2025-10-06T18:30:00,Suministro piezas de madera de roble.,Activa,Ministerio de Educación,Departamento de Adquisiciones,Punta Arenas,Región Metropolitana,Isabel Sánchez,Especialista en Compras,2,Privado,49589.0,Trato Directo,isabel.sánchez@gobierno.cl
2025-10-13T15:10:00,Adquisición cajones prefabricados de hormigón.,Activa,Ministerio de Salud,Área de Contrataciones,Valparaíso,Región del Biobío,Juan Pérez,Coordinador de Adquisiciones,2,Privado,52709.0,Licitación Pública,juan.pérez@gob.cl
2025-10-10T15:00:00,ESTABILIZADOR DE SUELO TIPO IONICO,Activa,Gobierno Regional del Biobío,Departamento de Adquisiciones,Ñuñoa,Región de Los Lagos,Roberto Martínez,Administrador de Contratos,1,Público,11995.0,Trato Directo,roberto.martínez@gob.cl
2025-10-10T15:00:00,ESTABILIZADOR SUELO EN BASE A POLIMERO,Activa,Fiscalía Nacional,Unidad de Compras,Punta Arenas,Región de Los Ríos,Juan Pérez,Analista de Compras,1,Público,308312.0,Trato Directo,juan.pérez@municipalidad.cl
2025-10-13T15:01:00,Serv. de Arriendo y mantención de Baños Químicos,Activa,Ministerio de Educación,Sección de Licitaciones,Viña del Mar,Región Metropolitana,Diego Morales,Analista de Compras,1,Público,107216.0,Licitación Pública,diego.morales@gob.cl
2025-10-14T16:00:00,SERVICIO DE RENOVACIÓN Y ADQUISICIÓN DE LICENCIAS,Activa,Superintendencia de Educación,Sección de Licitaciones,Viña del Mar,Región de Antofagasta,Ana Rodríguez,Supervisor de Contratos,1,Público,63668.0,Licitación Privada,ana.rodríguez@gob.cl
2025-10-10T12:15:00,Servicio de producción Escuela Tambillos.,Activa,Servicio de Impuestos Internos,Sección de Licitaciones,Talca,Región de Atacama,Mónica Herrera,Administrador de Contratos,3,Mixto,32422.0,Subasta Inversa,mónica.herrera@gobierno.cl
2025-10-10T15:00:00,Capacitación en neurociencias IAC Est. de Israel,Activa,Municipalidad de Santiago,Unidad de Compras,Maipú,Región de Coquimbo,Ana Rodríguez,Encargado de Licitaciones,1,Público,69466.0,Compra Agilizada,ana.rodríguez@gob.cl
2025-10-13T15:01:00,Adquisición De Accesorios Tecnológicos.,Activa,Ministerio de Obras Públicas,División de Compras,Las Condes,Región de Antofagasta,Diego Morales,Encargado de Licitaciones,1,Público,884771.0,Licitación Pública,diego.morales@gob.cl
2025-10-08T16:00:00,Servicio de producción para salidas pedagógicas.,Activa,Municipalidad de Valparaíso,División de Compras,Talca,Región de Los Lagos,Isabel Sánchez,Analista de Compras,2,Privado,218072.0,Licitación Privada,isabel.sánchez@gob.cl
2025-10-06T15:00:00,Producción salidas pedagógicas Col. Nuestra Sra.,Activa,Servicio Nacional del Consumidor,División de Compras,Temuco,Región Aysén del General Carlos Ibáñez del Campo,Isabel Sánchez,Encargado de Licitaciones,1,Público,66006.0,Licitación Pública,isabel.sánchez@gobierno.cl
2025-10-06T15:00:00,Servicio De Producción Liceo Industrial José Tomás,Activa,Servicio Nacional del Consumidor,Unidad de Compras,Las Condes,Región de Los Lagos,Juan Pérez,Coordinador de Adquisiciones,2,Privado,53272.0,Subasta Inversa,juan.pérez@municipalidad.cl
2025-10-06T15:00:00,Servicios De Capacitación Para Docentes,Activa,Fiscalía Nacional,División de Compras,La Serena,Región de Antofagasta,Carlos Silva,Encargado de Licitaciones,1,Público,2695304.0,Compra Agilizada,carlos.silva@municipalidad.cl
2025-10-10T16:00:00,INSUMOS PARA TRATAMIENTO DE HERIDAS COMPLEJAS,Activa,Municipalidad de Valparaíso,Departamento de Adquisiciones,Rancagua,Región de La Araucanía,Fernando Ramírez,Jefe de Compras,3,Mixto,1285018.0,Trato Directo,fernando.ramírez@municipalidad.cl
2025-10-06T16:00:00,CATÉTERES USO PEDIÁTRICO CON ECÓGRAFOS EN COMODATO,Activa,Dirección del Trabajo,Sección de Licitaciones,Antofagasta,Región del Maule,Luis Fernández,Supervisor de Contratos,2,Privado,446553.0,Subasta Inversa,luis.fernández@municipalidad.cl
2025-10-06T17:00:00,SUMINISTRO DE INSUMOS PARA CIRUGÍA DE TÓRAX,Activa,Ministerio de Salud,Departamento de Adquisiciones,Temuco,Región de Valparaíso,Carmen Díaz,Coordinador de Adquisiciones,2,Privado,623776.0,Subasta Inversa,carmen.díaz@gobierno.cl
2025-10-06T16:00:00,SUMINISTRO DE CINTILLO DE MONITOREO ANESTESICO,Activa,Municipalidad de Santiago,Área de Contrataciones,La Serena,Región de Atacama,Carlos Silva,Administrador de Contratos,1,Público,69655.0,Licitación Privada,carlos.silva@gobierno.cl
2025-11-03T16:00:00,SUMINISTRO DE INSUMOS TRANSVERSALES,Activa,Instituto de Previsión Social,Unidad de Compras,Temuco,Región de Valparaíso,Luis Fernández,Coordinador de Adquisiciones,1,Público,62031.0,Trato Directo,luis.fernández@municipalidad.cl
2025-10-13T16:05:00,SERVICIO DE ARRIENDO CAMION TOLVA,Activa,Servicio Nacional del Consumidor,División de Compras,Providencia,Región de Coquimbo,Isabel Sánchez,Supervisor de Contratos,2,Privado,744718.0,Licitación Privada,isabel.sánchez@municipalidad.cl
2025-10-13T16:05:00,ARRIENDO RODILLO COMPACTADOR.,Activa,Instituto de Previsión Social,División de Compras,La Serena,Región del Libertador General Bernardo O'Higgins,Mónica Herrera,Coordinador de Adquisiciones,3,Mixto,63911.0,Licitación Pública,mónica.herrera@gob.cl
2025-10-10T18:39:00,SERVICIO DE HABILITACIÓN E IMPLEMENTACIÓN PARA LAS OFICINAS DE LAS UNIDADES DE ADMISIÓN Y GÉNERO PROYECTO CRC23101,Activa,Servicio de Impuestos Internos,División de Compras,Santiago,Región del Maule,Isabel Sánchez,Coordinador de Adquisiciones,2,Privado,46758.0,Convenio Marco,isabel.sánchez@gobierno.cl
2025-10-10T19:55:00,Renovación de licencias educativas suite de trabajo Office 365 para el Centro de Formación Técnica de la Región de Coquimbo,Activa,Gobierno Regional de Valparaíso,Unidad de Compras,Maipú,Región Aysén del General Carlos Ibáñez del Campo,Luis Fernández,Supervisor de Contratos,2,Privado,1620587.0,Compra Agilizada,luis.fernández@gobierno.cl
2025-10-10T18:01:00,SERVICIOS DE DIFUSIÓN RADIAL Y DIGITAL CAMPAÑA DE ADMISIÓN 2026,Activa,Municipalidad de Valparaíso,Departamento de Adquisiciones,Maipú,Región de Los Lagos,Roberto Martínez,Analista de Compras,2,Privado,7625004.0,Trato Directo,roberto.martínez@gobierno.cl
2025-10-10T19:48:00,Adquisición e Instalación Pantalla LED,Activa,Instituto de Previsión Social,División de Compras,Las Condes,Región de Coquimbo,Roberto Martínez,Especialista en Compras,2,Privado,11743.0,Compra Agilizada,roberto.martínez@gobierno.cl
2025-10-21T16:00:00,Soporte M365 y consultoría consolidación AD,Activa,Ministerio de Salud,Unidad de Compras,Ñuñoa,Región Metropolitana,Roberto Martínez,Coordinador de Adquisiciones,1,Público,217571.0,Convenio Marco,roberto.martínez@municipalidad.cl
